"HK1" "HK2" "HK3" "HK4" "HK5" "HK6" "HK7" "HK8" "HK9" "HK10" "HK11" "HK12" "HK13" "PGI" "PFK1" "PFK2" "PFK3" "PFK4" "PFK5" "PFK6" "PFK7" "PFK8" "PFK9" "PFK10" "PFK11" "PFK12" "PFK13" "PFK14" "PFK15" "PFK16" "PFK17" "PFK18" "PFK19" "PFK20" "PFK21" "ALD" "TPI" "GAPDH" "PGK" "DPGM1" "DPGM2" "DPGM3" "DPGase1" "DPGase2" "DPGase3" "PGM" "EN" "PK" "LDH" "AMPase" "ADA" "AK1" "AK2" "AK3" "AK4" "AK5" "AK6" "AK7" "AK8" "AK9" "ADK" "AMPDA" "ATPase" "ADPRT" "G6PDH1" "G6PDH2" "G6PDH3" "G6PDH4" "G6PDH5" "PGLase" "GL6PDH" "GSSGR" "GSHR" "RU5PI" "XU5PE" "TKI" "TKII" "TALD" "IMPase" "PNPase" "PRM" "PRPPSYN" "HGPRT" "GLCEX" "PEX" "LEX" "HXEX" "ADEEX" "ADOEX" "INOEX" "MG1" "MG2" "MG3" "MG4"
"ADE" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" "-1" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" "-1" " 0" " 0" " 0" " 0" " 0" " 0"
"hkE" "-1" " 0" "-1" " 0" " 0" " 0" " 1" " 0" " 1" " 0" " 0" "-1" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"hkEMgATP" " 1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"hkEGLC" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" "-1" "-1" " 0" "-1" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"hkEMgATPGLC" " 0" " 1" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"hkEMgADPG6P" " 0" " 0" " 0" " 0" " 1" "-1" " 0" "-1" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"hkEMgADP" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"hkEG6P" " 0" " 0" " 0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"hkEGLCGSH" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" " 0" " 0" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"khEGLCDPG23" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" " 0" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"hkEPhosi" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"hkEGLCG6P" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"pfkET" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "-1" " 0" " 0" " 0" "-1" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0"
"pfkERMgATP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERMgATPF6P" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERMgADPFDP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERMgADP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERAMP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERAMP2" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERAMP3" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERAMP4" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERF6P" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" "-1" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERF6P2" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" "-1" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERF6P3" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" "-1" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkERF6P4" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkETATP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkETATP2" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkETATP3" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkETATP4" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 1" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkETMg" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 1" "-1" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkETMg2" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 1" "-1" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkETMg3" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 1" "-1" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkETMg4" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"pfkER" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-1" " 0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" "-1" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"dpgmE" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "-1" " 0" " 1" " 0" " 0" " 1" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"dpgmEDPG13" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 1" "-1" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"dpgmEDPG23" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 1" "-1" "-1" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"dpgmEPhosiDPG3" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 1" "-1" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
